"ebird","twitter","sample_size","mean_expend","se_expend","mean_dist","se_dist","mean_travel_time","se_travel_time","mean_years","se_years"
"No","No",235,218.869436659093,25.5351313568533,458.195662393162,41.1844337337204,4.65027065527066,0.380316468085574,22.3844444444444,1.30883567624938
"No","Yes",14,261.142130073908,73.6284261787701,306.691071428571,52.4866516509919,3.20978174603175,0.509658116607244,10.6153846153846,4.08763883052199
"Yes","No",171,333.410225973329,42.87483687677,845.979713450292,63.3004870374966,8.26679662118259,0.579682337618644,20.0266081871345,1.32665486136432
"Yes","Yes",31,211.101807489203,54.6669402076412,677.071774193548,106.836671669883,6.7028853046595,0.975418901889126,15.1935483870968,2.52265833282458
